Event_ID,Relationship,Personal_ID,Notes
5,Baptized,8,
5,Mother,10,
5,Godmother,11,
5,Priest,16,
6,Baptized,12,
6,Father,13,
6,Mother,14,
6,Godfather,15,
6,Priest,16,
7,Priest,16,
7,Baptized,17,
7,Father,18,
7,Mother,19,
7,Godmother,20,
8,Priest,16,
8,Baptized,21,
8,Father,22,
8,Mother,23,
8,Godfather,38,
9,Priest,16,
9,Baptized,25,
9,Father,26,
9,Mother,27,
9,Godfather,28,
10,Godfather,15,
10,Priest,16,
10,Baptized,29,
10,Father,30,
10,Mother,31,
10,Godmother,32,
11,Priest,16,
11,Baptized,33,
11,Father,34,
11,Mother,35,
11,Godmother,36,
12,Priest,16,
12,Baptized,37,
12,Godfather,38,
12,Godmother,151,
13,Priest,16,
13,Baptized,40,
13,Father,41,
13,Mother,42,
13,Godfather,43,
14,Priest,16,
14,Baptized,44,
14,Father,45,
14,Mother,46,
14,Godmother,47,
15,Priest,16,
15,Baptized,48,
15,Father,49,
15,Mother,50,
15,Godmother,51,
16,Priest,16,
16,Father,49,
16,Mother,50,
16,Baptized,52,
16,Godmother,55,
17,Priest,16,
17,Father,49,
17,Mother,50,
17,Baptized,56,
17,Godmother,57,
18,Priest,16,
18,Baptized,58,
18,Father,59,
18,Mother,60,
18,Godfather,61,
19,Priest,16,
19,Godmother,36,
19,Baptized,62,
19,Father,63,
19,Mother,64,
19,Godfather,65,
20,Priest,16,
20,Baptized,67,
20,Father,68,
20,Mother,69,
20,Godfather,70,
21,Priest,16,
21,Godfather,38,Listed as Mayordomo in event #21 only
21,Baptized,71,
21,Father,72,
21,Mother,73,
22,Priest,16,
22,Father,72,
22,Mother,73,
22,Baptized,75,
23,Baptized,76,
23,Father,77,
23,Mother,78,
23,Godfather,79,
23,Godmother,80,
23,Priest,81,"Though his residence was at Soamca, he administered San Xavier and Guevavi in the absence of a priest at either of those sites."
24,Priest,81,
24,Baptized,82,
24,Father,83,
24,Mother,84,
24,Godfather,85,
24,Godmother,86,
25,Priest,16,
25,Baptized,87,
25,Mother,88,
25,Godfather,89,
26,Priest,16,
26,Baptized,90,
26,Father,91,
26,Mother,92,
26,Godfather,93,
27,Priest,16,
27,Baptized,94,
27,Mother,96,
27,Godfather,97,
27,Godmother,98,
27,Father,497,
28,Baptized,99,
28,Godfather,100,
29,Priest,81,
29,Baptized,101,
29,Father,102,
29,Mother,103,
29,Godfather,104,
29,Godmother,105,
30,Priest,16,
30,Baptized,106,
30,Father,107,
30,Mother,108,
30,Godfather,109,
31,Priest,16,
31,Baptized,110,
31,Father,111,
31,Mother,112,
31,Godfather,113,
32,Priest,16,
32,Baptized,114,
32,Father,115,
32,Mother,116,
32,Godfather,117,
32,Godmother,118,
33,Priest,16,
33,Baptized,119,
33,Father,120,
33,Mother,121,
33,Godmother,122,
34,Priest,16,
34,Baptized,123,
34,Father,124,
34,Mother,125,
34,Godmother,126,
35,Priest,16,
35,Godfather,70,
35,Baptized,127,
35,Father,128,
35,Mother,129,
36,Priest,16,
36,Baptized,130,
36,Father,131,
36,Mother,132,
36,Godfather,133,
37,Priest,16,
37,Baptized,134,
37,Father,135,
37,Mother,136,
37,Godfather,137,
37,Godmother,138,
38,Priest,16,
38,Baptized,139,
38,Father,140,
38,Mother,141,
38,Godfather,142,
39,Priest,16,
39,Baptized,143,
39,Father,144,
39,Mother,145,
39,Godfather,146,
40,Priest,16,
40,Baptized,147,
40,Father,148,
40,Mother,149,
40,Godfather,150,
40,Godmother,151,
41,Priest,16,
41,Baptized,152,
41,Godfather,153,
42,Priest,16,
42,Baptized,154,
42,Father,155,
42,Mother,156,
42,Godfather,157,
43,Priest,16,
43,Father,155,
43,Mother,156,
43,Baptized,158,
43,Godfather,159,
44,Godfather,15,
44,Priest,16,
44,Baptized,160,
44,Father,161,
44,Mother,162,
45,Priest,16,
45,Baptized,164,
45,Godmother,165,
46,Priest,16,
46,Godfather,113,
46,Baptized,166,
47,Priest,16,
47,Baptized,168,
47,Father,169,
47,Mother,170,
47,Godfather,282,
48,Priest,16,
48,Baptized,172,
48,Father,173,
48,Mother,174,
48,Godfather,175,
48,Godmother,176,
49,Priest,16,
49,Husband,175,
49,Wife,176,
50,Priest,16,
50,Baptized,177,
50,Father,178,
50,Mother,179,
50,Godmother,181,
50,Godfather,204,
51,Priest,16,
51,Baptized,182,
51,Father,183,
51,Mother,184,
51,Godmother,185,
52,Priest,16,
52,Baptized,186,
52,Father,187,
52,Mother,188,
52,Godmother,189,
53,Godfather,15,
53,Priest,16,
53,Father,187,
53,Mother,188,
53,Baptized,190,
55,Priest,16,
55,Baptized,191,
55,Father,192,
55,Mother,193,
55,Godfather,282,
56,Priest,16,
56,Godfather,104,
56,Baptized,194,
56,Father,195,
56,Mother,196,
57,Husband,197,
57,Wife,198,
57,Witness,199,
57,Witness,200,
57,Priest,201,
58,Priest,201,
58,Husband,202,
58,Wife,203,
58,Witness,204,
58,Witness,205,
59,Priest,201,
59,Witness,204,
59,Husband,206,
59,Wife,207,
59,Witness,209,
60,Priest,201,
60,Witness,209,
60,Husband,210,
60,Wife,211,
60,Witness,212,
61,Priest,201,
61,Witness,209,
61,Witness,212,
61,Husband,280,
61,Wife,281,
62,Wife,138,
62,Priest,201,
62,Husband,282,
62,Witness,284,
62,Witness,285,
63,Husband,115,
63,Wife,116,
63,Priest,201,
63,Witness,286,
63,Witness,287,
64,Priest,201,
64,Husband,288,
64,Wife,289,
64,Witness,290,
64,Witness,919,
65,Priest,201,
65,Witness,209,
65,Witness,212,
65,Husband,292,
65,Wife,293,
66,Priest,201,
66,Witness,204,
66,Witness,212,
66,Husband,294,
66,Wife,295,
67,Priest,201,
67,Husband,296,
67,Wife,297,
67,Witness,298,
67,Witness,299,
68,Husband,70,
68,Priest,201,
68,Witness,204,
68,Wife,301,
68,Witness,483,
69,Witness,15,
69,Priest,201,
69,Husband,303,
69,Wife,304,
69,Witness,305,
70,Priest,16,
70,Witness,38,
70,Witness,117,
70,Godfather,137,
70,Witness,305,
70,Husband,306,
70,Wife,307,
70,Godmother,308,
70,Witness,309,
70,Witness,310,
71,Priest,16,
71,Witness,70,
71,Husband,311,
71,Wife,312,
71,Godfather,313,
71,Godmother,314,
71,Witness,315,
71,Witness,316,
72,Priest,16,
72,Witness,38,
72,Husband,317,
72,Wife,318,
72,Godfather,319,
